"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"St. Paul","St. Paul","City","48085","TX","Texas","33.0437","-96.5504","1016"
"St. Jo","St. Jo","City","48337","TX","Texas","33.695","-97.5231","811"
"St. Hedwig","St. Hedwig","City","48029","TX","Texas","29.4197","-98.2047","2159"
"Spur","Spur","City","48125","TX","Texas","33.4703","-100.8556","738"
"Springtown","Springtown","City","48367","TX","Texas","32.9693","-97.6804","3051"
"Springlake","Springlake","City","48279","TX","Texas","34.2317","-102.3057","128"
"Spring Valley Village","Spring Valley Village","City","48201","TX","Texas","29.7898","-95.5041","4204"
"Spring Gardens","Spring Gardens","City","48355","TX","Texas","27.7615","-97.7419","489"
"Spring Branch","Spring Branch","City","48091","TX","Texas","29.8849","-98.4127","154"
"Spring","Spring","City","48201","TX","Texas","30.0613","-95.383","62569"
"Spofford","Spofford","City","48271","TX","Texas","29.1733","-100.4112","41"
"Splendora","Splendora","City","48339","TX","Texas","30.2324","-95.1616","1919"
"Spearman","Spearman","City","48195","TX","Texas","36.1982","-101.1943","2935"
"Sparks","Sparks","City","48141","TX","Texas","31.6727","-106.2399","5169"
"Spade","Spade","City","48279","TX","Texas","33.926","-102.1543","55"
"Southwest Sandhill","Southwest Sandhill","City","48475","TX","Texas","31.557","-102.9066","1136"
"Southside Place","Southside Place","City","48201","TX","Texas","29.7089","-95.4366","1480"
"Southmayd","Southmayd","City","48181","TX","Texas","33.6231","-96.7287","1522"
"Southlake","Southlake","City","48439","TX","Texas","32.9545","-97.1503","30754"
"South Toledo Bend","South Toledo Bend","City","48351","TX","Texas","31.1568","-93.6074","337"
"South Point","South Point","City","48061","TX","Texas","25.8729","-97.383","947"
"South Padre Island","South Padre Island","City","48061","TX","Texas","26.1218","-97.1703","2138"
"South Mountain","South Mountain","City","48099","TX","Texas","31.4398","-97.6793","427"
"South La Paloma","South La Paloma","City","48249","TX","Texas","27.8947","-97.9685","790"
"South Houston","South Houston","City","48201","TX","Texas","29.6611","-95.2285","16354"
"South Frydek","South Frydek","City","48015","TX","Texas","29.7318","-96.0738","169"
"South Fork Estates","South Fork Estates","City","48247","TX","Texas","27.2697","-98.7239","38"
"South Alamo","South Alamo","City","48215","TX","Texas","26.1517","-98.1079","3228"
"Sour Lake","Sour Lake","City","48199","TX","Texas","30.1378","-94.4046","2322"
"Sonterra","Sonterra","City","48491","TX","Texas","30.8079","-97.5952","6765"
"Sonora","Sonora","City","48435","TX","Texas","30.5707","-100.6423","2955"
"Somerville","Somerville","City","48051","TX","Texas","30.346","-96.5311","1249"
"Somerset","Somerset","City","48029","TX","Texas","29.2285","-98.6567","2180"
"Solis","Solis","City","48061","TX","Texas","26.1708","-97.844","844"
"Socorro","Socorro","City","48141","TX","Texas","31.6383","-106.2601","34687"
"Snyder","Snyder","City","48415","TX","Texas","32.7133","-100.9116","11366"
"Snook","Snook","City","48051","TX","Texas","30.4907","-96.467","552"
"Smyer","Smyer","City","48219","TX","Texas","33.5874","-102.1636","478"
"Smithville","Smithville","City","48021","TX","Texas","30.0082","-97.152","3920"
